,tic,datadate,fyearq,fqtr,actq,lctq,dvpspq,saleq,cshoq,prccq,epsfiq,oancfy,ivncfy,fincfy,lastactq1,lastlctq1,lastdvpspq1,lastsaleq1,lastcshoq1,lastprccq1,lastepsfiq1,lastoancfy1,lastivncfy1,lastfincfy1,lastactual1,meanest,actual
13,AAL,30/06/2017,2017,1,10626,15286,0.1,9820,495.75,42.3,0.67,2250,-1849,-349,10324,13872,0.1,9789,507.294,46.69,0.56,6524,-5698,-894,0.61,1.84,1.92
14,AAL,30/09/2017,2017,2,11016,16112,0.1,11227,487.662,50.32,1.75,3938,-3253,-621,10626,15286,0.1,9820,495.75,42.3,0.67,2250,-1849,-349,1.92,1.4,1.42
15,AAL,31/12/2017,2017,3,10002,15307,0.1,10964,480,47.49,1.36,4307,-3069,-1220,11016,16112,0.1,11227,487.662,50.32,1.75,3938,-3253,-621,1.42,0.9,0.95
16,AAL,31/03/2018,2017,4,9146,14964,0.1,10611,475.508,52.03,-1.22,4744,-3626,-1145,10002,15307,0.1,10964,480,47.49,1.36,4307,-3069,-1220,0.95,0.72,0.75
17,AAL,30/06/2018,2018,1,9673,17008,0.1,10401,467.39,51.96,0.34,1799,-956,-841,9146,14964,0.1,10611,475.508,52.03,-1.22,4744,-3626,-1145,0.75,1.59,1.63
18,AAL,30/09/2018,2018,2,9176,16669,0.1,11643,460.502,37.96,1.2,2883,-1035,-1941,9673,17008,0.1,10401,467.39,51.96,0.34,1799,-956,-841,1.63,1.13,1.13
19,AAL,31/12/2018,2018,3,9498,16348,0.1,11559,460.559,41.33,0.81,2804,-1583,-1305,9176,16669,0.1,11643,460.502,37.96,1.2,2883,-1035,-1941,1.13,1.03,1.04
20,AAL,31/03/2019,2018,4,8637,18096,0.1,10938,460.611,32.11,0.7,3533,-1973,-1672,9498,16348,0.1,11559,460.559,41.33,0.81,2804,-1583,-1305,1.04,0.51,0.52
21,AAL,30/06/2019,2019,1,8654,19849,0.1,10584,444.216,31.76,0.41,1651,-480,-1109,8637,18096,0.1,10938,460.611,32.11,0.7,3533,-1973,-1672,0.52,1.8,1.82
22,AAL,30/09/2019,2019,2,9850,20123,0.1,11960,445.262,32.61,1.49,2387,-2413,70,8654,19849,0.1,10584,444.216,31.76,0.41,1651,-480,-1109,1.82,1.4,1.42
23,AAL,31/12/2019,2019,3,9572,19560,0.1,11911,438.035,26.97,0.96,3215,-2882,-296,9850,20123,0.1,11960,445.262,32.61,1.49,2387,-2413,70,1.42,1.18,1.15
24,AAL,31/03/2020,2019,4,8206,18311,0.1,11313,428.203,28.68,0.95,3815,-2243,-1568,9572,19560,0.1,11911,438.035,26.97,0.96,3215,-2882,-296,1.15,-2.21,-2.65
25,AAL,30/06/2020,2020,1,7175,19213,0.1,8515,422.887,12.19,-5.26,-168,-162,526,8206,18311,0.1,11313,428.203,28.68,0.95,3815,-2243,-1568,-2.65,-7.56,-7.82
26,AAL,30/09/2020,2020,2,13789,18000,0,1622,508.556,13.07,-4.82,-1076,-6961,8214,7175,19213,0.1,8515,422.887,12.19,-5.26,-168,-162,526,-7.82,-5.88,-5.54
27,AAL,31/12/2020,2020,3,12340,16584,0,3172,508.604,12.29,-4.71,-3680,-6038,9725,13789,18000,0,1622,508.556,13.07,-4.82,-1076,-6961,8214,-5.54,-4.09,-3.86
91,PNW,30/06/2017,2017,1,794.996,1193.813,0.655,677.728,111.558,83.38,0.21,140.051,-348.684,202.78,822.219,1292.946,0.655,739.199,111.337,78.03,0.47,1023.39,-1252.078,198.081,0.21,1.13,1.49
92,PNW,30/09/2017,2017,2,1068.204,1638.594,0.655,944.587,111.623,85.16,1.49,290.562,-688.24,393.75,794.996,1193.813,0.655,677.728,111.558,83.38,0.21,140.051,-348.684,202.78,1.49,2.32,2.46
93,PNW,31/12/2017,2017,3,1174.205,1303.143,0.655,1183.322,111.657,84.56,2.46,771.924,-1039.639,269.508,1068.204,1638.594,0.655,944.587,111.623,85.16,1.49,290.562,-688.24,393.75,2.46,0.12,0.19
94,PNW,31/03/2018,2017,4,1016.288,1197.852,0.695,759.659,111.752,85.18,0.19,1118.036,-1428.537,315.512,1174.205,1303.143,0.655,1183.322,111.657,84.56,2.46,771.924,-1039.639,269.508,0.19,0.12,0.03
95,PNW,30/06/2018,2018,1,957.404,1874.391,0.695,692.714,111.933,79.8,0.03,166.872,-361.093,195.769,1016.288,1197.852,0.695,759.659,111.752,85.18,0.19,1118.036,-1428.537,315.512,0.03,1.48,1.48
96,PNW,30/09/2018,2018,2,1118.711,2238.885,0.695,974.123,111.972,80.56,1.48,395.802,-679.096,273.241,957.404,1874.391,0.695,692.714,111.933,79.8,0.03,166.872,-361.093,195.769,1.48,2.69,2.8
97,PNW,31/12/2018,2018,3,1207.19,1734.788,0.695,1268.034,111.999,79.18,2.8,959.763,-913.316,4.652,1118.711,2238.885,0.695,974.123,111.972,80.56,1.48,395.802,-679.096,273.241,2.8,0.18,0.23
98,PNW,31/03/2019,2018,4,924.991,1648.964,0.7375,756.376,112.102,85.2,0.23,1277.144,-1192.824,-92.446,1207.19,1734.788,0.695,1268.034,111.999,79.18,2.8,959.763,-913.316,4.652,0.23,0.12,0.16
99,PNW,30/06/2019,2019,1,876.389,1591.304,0.7375,740.53,112.277,95.58,0.16,173.432,-254.513,81.424,924.991,1648.964,0.7375,756.376,112.102,85.2,0.23,1277.144,-1192.824,-92.446,0.16,1.54,1.28
100,PNW,30/09/2019,2019,2,1028.567,1900.961,0.7375,869.501,112.303,94.09,1.28,345.934,-527.638,177.586,876.389,1591.304,0.7375,740.53,112.277,95.58,0.16,173.432,-254.513,81.424,1.28,3.04,2.77
101,PNW,31/12/2019,2019,3,1133.155,1586.746,0.7375,1190.787,112.346,97.07,2.77,834.761,-832.013,21.338,1028.567,1900.961,0.7375,869.501,112.303,94.09,1.28,345.934,-527.638,177.586,2.77,0.46,0.57
102,PNW,31/03/2020,2019,4,1030.03,2078.365,0.7825,670.391,112.436,89.93,0.57,956.726,-1130.977,178.768,1133.155,1586.746,0.7375,1190.787,112.346,97.07,2.77,834.761,-832.013,21.338,0.57,0.16,0.27
103,PNW,30/06/2020,2020,1,1078.307,2295.488,0.7825,661.93,112.492,75.79,0.27,183.628,-341.16,210.388,1030.03,2078.365,0.7825,670.391,112.436,89.93,0.57,956.726,-1130.977,178.768,0.27,1.37,1.71
104,PNW,30/09/2020,2020,2,1147.089,1496.363,0.7825,929.59,112.555,73.29,1.71,369.032,-652.521,279.969,1078.307,2295.488,0.7825,661.93,112.492,75.79,0.27,183.628,-341.16,210.388,1.71,2.69,3.07
105,PNW,31/12/2020,2020,3,1454.686,1244.784,0.7825,1254.501,112.59,74.55,3.07,772.019,-955.503,355.127,1147.089,1496.363,0.7825,929.59,112.555,73.29,1.71,369.032,-652.521,279.969,3.07,0.09,-0.17
174,ABT,30/06/2017,2017,1,19329,6646,0.265,6335,1735.272,44.41,0.24,574,-6154,-4399,26776,6660,0.26,5333,1472.869,38.41,0.53,3203,-248,11147,0.48,0.6,0.62
175,ABT,30/09/2017,2017,2,19983,6803,0.265,6637,1737.443,48.61,0.16,1925,-6160,-4783,19329,6646,0.265,6335,1735.272,44.41,0.24,574,-6154,-4399,0.62,0.65,0.66
176,ABT,31/12/2017,2017,3,21377,7935,0.265,6829,1740.601,53.36,0.34,3930,-6466,-5169,19983,6803,0.265,6637,1737.443,48.61,0.16,1925,-6160,-4783,0.66,0.73,0.74
177,ABT,31/03/2018,2017,4,20147,8912,0.265,7589,1743.602,57.07,-0.48,5570,-9618,-5281,21377,7935,0.265,6829,1740.601,53.36,0.34,3930,-6466,-5169,0.74,0.58,0.59
178,ABT,30/06/2018,2018,1,14964,9010,0.28,7390,1753.188,59.92,0.23,1108,-238,-6455,20147,8912,0.265,7589,1743.602,57.07,-0.48,5570,-9618,-5281,0.59,0.71,0.73
179,ABT,30/09/2018,2018,2,14122,8951,0.28,7767,1754.319,60.99,0.41,2352,-537,-8086,14964,9010,0.28,7390,1753.188,59.92,0.23,1108,-238,-6455,0.73,0.75,0.75
180,ABT,31/12/2018,2018,3,18196,12776,0.28,7656,1756.333,73.36,0.32,4535,-860,-5615,14122,8951,0.28,7767,1754.319,60.99,0.41,2352,-537,-8086,0.75,0.81,0.81
181,ABT,31/03/2019,2018,4,14632,9012,0.28,7765,1755.619,72.33,0.37,6300,-1356,-10391,18196,12776,0.28,7656,1756.333,73.36,0.32,4535,-860,-5615,0.81,0.61,0.63
182,ABT,30/06/2019,2019,1,14409,9113,0.32,7535,1764.181,79.94,0.38,712,-396,-1142,14632,9012,0.28,7765,1755.619,72.33,0.37,6300,-1356,-10391,0.63,0.8,0.82
183,ABT,30/09/2019,2019,2,15195,9062,0.32,7979,1767.398,84.1,0.56,1772,-894,-1591,14409,9113,0.32,7535,1764.181,79.94,0.38,712,-396,-1142,0.82,0.84,0.84
184,ABT,31/12/2019,2019,3,16119,10491,0.32,8076,1768.456,83.67,0.53,3720,-1326,-2104,15195,9062,0.32,7979,1767.398,84.1,0.56,1772,-894,-1591,0.84,0.95,0.95
185,ABT,31/03/2020,2019,4,15667,10863,0.32,8314,1762.503,86.86,0.59,6136,-1815,-4289,16119,10491,0.32,8076,1768.456,83.67,0.53,3720,-1326,-2104,0.95,0.71,0.65
186,ABT,30/06/2020,2020,1,15498,10808,0.36,7726,1768.845,78.91,0.31,715,-393,-735,15667,10863,0.32,8314,1762.503,86.86,0.59,6136,-1815,-4289,0.65,0.41,0.57
187,ABT,30/09/2020,2020,2,17221,10959,0.36,7328,1770.53,91.43,0.3,2037,-1012,-77,15498,10808,0.36,7726,1768.845,78.91,0.31,715,-393,-735,0.57,0.9,0.98
188,ABT,31/12/2020,2020,3,17390,10257,0.36,8853,1772.362,108.83,0.69,4103,-1484,-1992,17221,10959,0.36,7328,1770.53,91.43,0.3,2037,-1012,-77,0.98,1.35,1.45
257,AMD,30/06/2017,2017,1,2498,1372,0,1178,942,14.55,-0.04,-299,-246,3,2530,1346,0,1106,935,11.34,-0.06,90,267,122,-0.04,0,0.02
258,AMD,30/09/2017,2017,2,2511,1449,0,1151,947,12.48,-0.04,-381,-122,-1,2498,1372,0,1178,942,14.55,-0.04,-299,-246,3,0.02,0.07,0.1
259,AMD,31/12/2017,2017,3,2699,1591,0,1584,965,12.75,0.06,-315,-71,1,2511,1449,0,1151,947,12.48,-0.04,-381,-122,-1,0.1,0.05,0.08
260,AMD,31/03/2018,2017,4,2622,1486,0,1340,967,10.28,-0.02,68,-114,-33,2699,1591,0,1584,965,12.75,0.06,-315,-71,1,0.08,0.09,0.11
261,AMD,30/06/2018,2018,1,2751,1697,0,1647,969,10.05,0.08,-86,-46,-8,2622,1486,0,1340,967,10.28,-0.02,68,-114,-33,0.11,0.13,0.14
262,AMD,30/09/2018,2018,2,3099,1868,0,1756,975,14.99,0.11,-131,-124,20,2751,1697,0,1647,969,10.05,0.08,-86,-46,-8,0.14,0.12,0.13
263,AMD,31/12/2018,2018,3,3314,1878,0,1653,999,30.89,0.09,-36,-132,28,3099,1868,0,1756,975,14.99,0.11,-131,-124,20,0.13,0.08,0.08
264,AMD,31/03/2019,2018,4,3540,1984,0,1419,1005,18.46,0.04,34,-170,28,3314,1878,0,1653,999,30.89,0.09,-36,-132,28,0.08,0.05,0.06
265,AMD,30/06/2019,2019,1,3677,1764,0,1272,1082,25.52,0.01,-213,-173,286,3540,1984,0,1419,1005,18.46,0.04,34,-170,28,0.06,0.08,0.08
266,AMD,30/09/2019,2019,2,3754,1804,0,1531,1086,30.37,0.03,-183,-180,248,3677,1764,0,1272,1082,25.52,0.01,-213,-173,286,0.08,0.18,0.18
267,AMD,31/12/2019,2019,3,3912,1864,0,1801,1114,28.99,0.11,51,-123,150,3754,1804,0,1531,1086,30.37,0.03,-183,-180,248,0.18,0.31,0.32
268,AMD,31/03/2020,2019,4,4597,2359,0,2127,1170,45.86,0.15,493,-149,43,3912,1864,0,1801,1114,28.99,0.11,51,-123,150,0.32,0.18,0.18
269,AMD,30/06/2020,2020,1,4390,1985,0,1786,1171,45.48,0.14,-65,-73,2,4597,2359,0,2127,1170,45.86,0.15,493,-149,43,0.18,0.16,0.18
270,AMD,30/09/2020,2020,2,5109,2434,0,1932,1174,52.61,0.13,178,-109,240,4390,1985,0,1786,1171,45.48,0.14,-65,-73,2,0.18,0.35,0.41
271,AMD,31/12/2020,2020,3,5500,2417,0,2801,1202,81.99,0.32,517,-658,-29,5109,2434,0,1932,1174,52.61,0.13,178,-109,240,0.41,0.47,0.52
340,APD,31/03/2017,2017,1,3548.8,2929.8,0.86,1882.5,217.59,143.82,1.37,514.7,-257.5,-905,4317.3,3283.3,0.86,1945.5,217.351,150.34,1.8,2627.5,-1069,-271.1,1.47,1.39,1.43
341,APD,30/06/2017,2017,2,5294.1,2602.3,0.86,1980.1,217.724,135.29,9.7,340.4,1798.2,-1592.3,3548.8,2929.8,0.86,1882.5,217.59,143.82,1.37,514.7,-257.5,-905,1.43,1.59,1.65
342,APD,30/09/2017,2017,3,5347,2433.2,0.95,2121.9,217.957,143.06,0.46,845.4,1939.8,-1784.9,5294.1,2602.3,0.86,1980.1,217.724,135.29,9.7,340.4,1798.2,-1592.3,1.65,1.68,1.76
343,APD,31/12/2017,2017,4,5876.7,2489,0.95,2203.1,218.346,151.22,2.13,1567.9,2332.9,-1971.4,5347,2433.2,0.95,2121.9,217.957,143.06,0.46,845.4,1939.8,-1784.9,1.76,1.65,1.73
344,APD,31/03/2018,2018,1,5355.5,1831.6,0.95,2216.6,218.939,164.08,0.7,561,-484.9,-641.1,5876.7,2489,0.95,2203.1,218.346,151.22,2.13,1567.9,2332.9,-1971.4,1.73,1.68,1.71
345,APD,30/06/2018,2018,2,5396.3,1752.3,0.95,2155.7,219.194,159.03,1.89,1107,-526.3,-815.6,5355.5,1831.6,0.95,2216.6,218.939,164.08,0.7,561,-484.9,-641.1,1.71,1.84,1.95
346,APD,30/09/2018,2018,3,5055.5,2109.8,1.1,2259,219.272,155.73,2.15,1850.5,-1020.3,-1097.8,5396.3,1752.3,0.95,2155.7,219.194,159.03,1.89,1107,-526.3,-815.6,1.95,1.99,2
347,APD,31/12/2018,2018,4,5082.2,2338.3,1.1,2298.9,219.516,167.05,2.05,2541.9,-1630.5,-1359.8,5055.5,2109.8,1.1,2259,219.272,155.73,2.15,1850.5,-1020.3,-1097.8,2,1.87,1.86
348,APD,31/03/2019,2019,1,5089.9,2303.5,1.1,2224,219.631,160.05,1.57,655.2,-226.5,-289.8,5082.2,2338.3,1.1,2298.9,219.516,167.05,2.05,2541.9,-1630.5,-1359.8,1.86,1.87,1.92
349,APD,30/06/2019,2019,2,4895.2,2073,1.1,2187.7,220.133,190.96,1.9,1285.8,-882.1,-459.8,5089.9,2303.5,1.1,2224,219.631,160.05,1.57,655.2,-226.5,-289.8,1.92,2.15,2.17
350,APD,30/09/2019,2019,3,4915.2,2155.2,1.16,2224,220.355,226.37,2.2,2003.4,-1435.5,-660.8,4895.2,2073,1.1,2187.7,220.133,190.96,1.9,1285.8,-882.1,-459.8,2.17,2.29,2.27
351,APD,31/12/2019,2019,4,4618.3,1820.9,1.16,2283.2,220.415,221.86,2.27,2969.9,-2113.4,-1370.5,4915.2,2155.2,1.16,2224,220.355,226.37,2.2,2003.4,-1435.5,-660.8,2.27,2.08,2.14
352,APD,31/03/2020,2020,1,4719.7,1819,1.16,2254.7,220.678,234.99,2.14,667,-260.7,-270.3,4618.3,1820.9,1.16,2283.2,220.415,221.86,2.27,2969.9,-2113.4,-1370.5,2.14,2.1,2.21
353,APD,30/06/2020,2020,2,4688.5,1806.9,1.16,2216.3,220.855,199.61,2.15,1238.5,-706.4,-537.8,4719.7,1819,1.16,2254.7,220.678,234.99,2.14,667,-260.7,-270.3,2.21,1.99,2.01
354,APD,30/09/2020,2020,3,9006.5,2591,1.34,2065.2,220.895,241.46,2.01,2013.2,-4330.9,4005.5,4688.5,1806.9,1.16,2216.3,220.855,199.61,2.15,1238.5,-706.4,-537.8,2.01,2.22,2.19
355,APD,31/12/2020,2020,4,8684.9,2416.7,1.34,2320.1,221.017,297.86,2.19,3264.7,-3560,3284.7,9006.5,2591,1.34,2065.2,220.895,241.46,2.01,2013.2,-4330.9,4005.5,2.19,2.18,2.12
425,ALK,30/06/2017,2017,1,2213,2835,0.3,1740,123.729,92.22,0.75,470,-488,-127,2050,2535,0.275,1524,123.328,88.73,0.92,1386,-2622,1491,1.05,2.51,2.51
426,ALK,30/09/2017,2017,2,2425,2974,0.3,2102,123.521,89.76,2.36,1084,-971,-243,2213,2835,0.3,1740,123.729,92.22,0.75,470,-488,-127,2.51,2.32,2.24
427,ALK,31/12/2017,2017,3,2214,2765,0.3,2110,123.387,76.27,2.09,1357,-1142,-399,2425,2974,0.3,2102,123.521,89.76,2.36,1084,-971,-243,2.24,0.85,0.83
428,ALK,31/03/2018,2017,4,2146,2700,0.3,1942,123.061,73.51,2.55,1590,-1132,-592,2214,2765,0.3,2110,123.387,76.27,2.09,1357,-1142,-399,0.83,0.12,0.14
429,ALK,30/06/2018,2018,1,2114,2992,0.32,1832,123.35,61.96,0.03,306,-164,-156,2146,2700,0.3,1942,123.061,73.51,2.55,1590,-1132,-592,0.14,1.63,1.66
430,ALK,30/09/2018,2018,2,2216,3036,0.32,2156,123.204,60.39,1.56,726,-468,-347,2114,2992,0.32,1832,123.35,61.96,0.03,306,-164,-156,1.66,1.81,1.91
431,ALK,31/12/2018,2018,3,2056,2888,0.32,2212,123.361,68.86,1.75,986,-333,-666,2216,3036,0.32,2156,123.204,60.39,1.56,726,-468,-347,1.91,0.71,0.75
432,ALK,31/03/2019,2018,4,1787,2942,0.32,2064,123.194,60.85,0.19,1195,-631,-647,2056,2888,0.32,2212,123.361,68.86,1.75,986,-333,-666,0.75,0.11,0.17
433,ALK,30/06/2019,2019,1,2001,3386,0.35,1876,123.504,56.12,0.03,468,-186,-171,1787,2942,0.32,2064,123.194,60.85,0.19,1195,-631,-647,0.17,2.13,2.17
434,ALK,30/09/2019,2019,2,2218,3534,0.35,2288,123.338,63.91,2.11,1033,-530,-363,2001,3386,0.35,1876,123.504,56.12,0.03,468,-186,-171,2.17,2.46,2.63
435,ALK,31/12/2019,2019,3,2202,3346,0.35,2389,123.278,64.91,2.6,1381,-708,-538,2218,3534,0.35,2288,123.338,63.91,2.11,1033,-530,-363,2.63,1.41,1.46
436,ALK,31/03/2020,2019,4,2037,3201,0.35,2228,123,67.75,1.46,1722,-791,-813,2202,3346,0.35,2389,123.278,64.91,2.6,1381,-708,-538,1.46,-1.15,-0.82
437,ALK,30/06/2020,2020,1,2572,3730,0.375,1636,122.585,28.47,-1.89,33,-127,684,2037,3201,0.35,2228,123,67.75,1.46,1722,-791,-813,-0.82,-3.6,-3.54
438,ALK,30/09/2020,2020,2,3244,4120,0,421,123.639,36.26,-1.74,321,-124,1091,2572,3730,0.375,1636,122.585,28.47,-1.89,33,-127,684,-3.54,-2.99,-3.23
439,ALK,31/12/2020,2020,3,4465,4207,0,701,123.661,36.63,-3.49,116,-767,2286,3244,4120,0,421,123.639,36.26,-1.74,321,-124,1091,-3.23,-2.63,-2.55
508,HON,30/06/2017,2017,1,23580,17281,0.665,9492,762.338,124.87,1.71,940,-604,-618,23058,16331,0.665,9985,760.8,115.85,1.34,5498,-3342,346,1.66,1.78,1.8
509,HON,30/09/2017,2017,2,24064,17981,0.665,10078,760.569,133.29,1.8,2387,-992,-1583,23580,17281,0.665,9492,762.338,124.87,1.71,940,-604,-618,1.8,1.75,1.75
510,HON,31/12/2017,2017,3,24644,18225,0.665,10121,761.823,141.74,1.74,3794,-2191,-2387,24064,17981,0.665,10078,760.569,133.29,1.8,2387,-992,-1583,1.75,1.84,1.85
511,HON,31/03/2018,2017,4,26002,18861,0.745,10843,750.9,153.36,-3.32,5966,-3574,-3516,24644,18225,0.665,10121,761.823,141.74,1.74,3794,-2191,-2387,1.85,1.9,1.95
512,HON,30/06/2018,2018,1,25587,18755,0.745,10392,746.93,144.51,1.89,1136,994,-1448,26002,18861,0.745,10843,750.9,153.36,-3.32,5966,-3574,-3516,1.95,2.01,2.05
513,HON,30/09/2018,2018,2,24779,18018,0.745,10919,742.611,144.05,1.68,2997,1605,-3486,25587,18755,0.745,10392,746.93,144.51,1.89,1136,994,-1448,2.05,1.99,2.03
514,HON,31/12/2018,2018,3,26628,17900,0.745,10762,740.288,166.4,3.11,4875,1433,-3402,24779,18018,0.745,10919,742.611,144.05,1.68,2997,1605,-3486,2.03,1.89,1.91
515,HON,31/03/2019,2018,4,24362,18924,0.82,9729,729.6,132.12,2.31,6434,1027,-5032,26628,17900,0.745,10762,740.288,166.4,3.11,4875,1433,-3402,1.91,1.83,1.92
516,HON,30/06/2019,2019,1,24334,19593,0.82,8884,727.742,158.92,1.92,1134,-609,-1235,24362,18924,0.82,9729,729.6,132.12,2.31,6434,1027,-5032,1.92,2.08,2.1
517,HON,30/09/2019,2019,2,23768,19894,0.82,9243,719.508,174.59,2.1,2812,-343,-3563,24334,19593,0.82,8884,727.742,158.92,1.92,1134,-609,-1235,2.1,2.01,2.08
518,HON,31/12/2019,2019,3,26188,19915,0.82,9086,714.533,169.2,2.23,4283,-122,-2491,23768,19894,0.82,9243,719.508,174.59,2.1,2812,-343,-3563,2.08,2.04,2.06
519,HON,31/03/2020,2019,4,24303,18098,0.9,9496,711.1,177,2.16,6897,-533,-6600,26188,19915,0.82,9086,714.533,169.2,2.23,4283,-122,-2491,2.06,1.96,2.21
520,HON,30/06/2020,2020,1,22613,17377,0.9,8463,701.848,133.79,2.21,939,350,-2446,24303,18098,0.9,9496,711.1,177,2.16,6897,-533,-6600,2.21,1.21,1.26
521,HON,30/09/2020,2020,2,28321,17341,0.9,7477,701.783,144.59,1.53,2419,-358,2741,22613,17377,0.9,8463,701.848,133.79,2.21,939,350,-2446,1.26,1.49,1.56
522,HON,31/12/2020,2020,3,28200,17184,0.9,7797,701.686,164.61,1.07,3426,-410,1972,28321,17341,0.9,7477,701.783,144.59,1.53,2419,-358,2741,1.56,2,2.07
581,SWKS,31/03/2017,2017,1,2198.5,303.4,0.28,914.3,184.8,74.66,1.38,495.9,-60.6,-168.6,2002.1,210.2,0.28,835.4,184.9,76.14,1.31,1095.7,-250.9,-804.6,1.61,1.4,1.45
582,SWKS,30/06/2017,2017,2,2308.1,266.9,0.28,851.7,184.5,97.98,1.2,731.8,-115.5,-293.2,2198.5,303.4,0.28,914.3,184.8,74.66,1.38,495.9,-60.6,-168.6,1.45,1.52,1.57
583,SWKS,30/09/2017,2017,3,2412,300.8,0.28,900.8,183.7,95.95,1.32,1045.9,-228.5,-457.2,2308.1,266.9,0.28,851.7,184.5,97.98,1.2,731.8,-115.5,-293.2,1.57,1.75,1.82
584,SWKS,31/12/2017,2017,4,2633.7,387.9,0.32,984.6,183.1,101.9,1.51,1471.3,-325.9,-612.4,2412,300.8,0.28,900.8,183.7,95.95,1.32,1045.9,-228.5,-457.2,1.82,1.91,2
585,SWKS,31/03/2018,2018,1,2686.6,321.5,0.32,1051.9,182.4,94.95,0.38,360.8,-34.2,-261.9,2633.7,387.9,0.32,984.6,183.1,101.9,1.51,1471.3,-325.9,-612.4,2,1.6,1.64
586,SWKS,30/06/2018,2018,2,2810.9,318.5,0.32,913.4,182.1,100.26,1.5,795,-124.5,-406,2686.6,321.5,0.32,1051.9,182.4,94.95,0.38,360.8,-34.2,-261.9,1.64,1.59,1.64
587,SWKS,30/09/2018,2018,3,2631.4,358.3,0.32,894.3,179.7,96.65,1.57,1053,-809.2,-702.5,2810.9,318.5,0.32,913.4,182.1,100.26,1.5,795,-124.5,-406,1.64,1.92,1.94
588,SWKS,31/12/2018,2018,4,2262.2,389.7,0.38,1008.4,177.4,90.71,1.58,1260.6,-1150.4,-993.7,2631.4,358.3,0.32,894.3,179.7,96.65,1.57,1053,-809.2,-702.5,1.94,1.85,1.83
589,SWKS,31/03/2019,2019,1,2208.5,357.3,0.38,972,174.1,67.02,1.6,549,171.5,-368.1,2262.2,389.7,0.38,1008.4,177.4,90.71,1.58,1260.6,-1150.4,-993.7,1.83,1.43,1.47
590,SWKS,30/06/2019,2019,2,2160.1,338.3,0.38,810.4,172.7,82.48,1.23,741.1,-96.6,-561.5,2208.5,357.3,0.38,972,174.1,67.02,1.6,549,171.5,-368.1,1.47,1.35,1.35
591,SWKS,30/09/2019,2019,3,2206.3,396.5,0.38,767,171.6,77.27,0.83,950.4,-235.1,-705.8,2160.1,338.3,0.38,810.4,172.7,82.48,1.23,741.1,-96.6,-561.5,1.35,1.5,1.52
592,SWKS,31/12/2019,2019,4,2234.6,374,0.44,827.4,170.1,79.25,1.22,1367.4,-336.9,-912.5,2206.3,396.5,0.38,767,171.6,77.27,0.83,950.4,-235.1,-705.8,1.52,1.65,1.68
593,SWKS,31/03/2020,2020,1,2346.5,333.2,0.44,896.1,170.5,120.88,1.5,398.4,-180.5,-141,2234.6,374,0.44,827.4,170.1,79.25,1.22,1367.4,-336.9,-912.5,1.68,1.34,1.34
594,SWKS,30/06/2020,2020,2,2220.8,362.2,0.44,766.1,167.5,89.38,1.06,678.8,-136.5,-481.2,2346.5,333.2,0.44,896.1,170.5,120.88,1.5,398.4,-180.5,-141,1.34,1.12,1.25
595,SWKS,30/09/2020,2020,3,2337.4,401.1,0.44,736.7,167.1,127.86,0.77,937.5,-391,-606.5,2220.8,362.2,0.44,766.1,167.5,89.38,1.06,678.8,-136.5,-481.2,1.25,1.52,1.85
596,SWKS,31/12/2020,2020,4,2317.6,448.4,0.5,956.8,165.6,145.5,1.46,1204.5,-581.4,-907.7,2337.4,401.1,0.44,736.7,167.1,127.86,0.77,937.5,-391,-606.5,1.85,2.07,3.36
640,HES,30/06/2017,2017,1,4171,2126,0.25,1257,317.916,48.21,-1.07,349,-290,-105,4276,2251,0.25,1388,316.523,62.29,-15.65,795,-2090,1311,-1.36,-1.32,-1.41
641,HES,30/09/2017,2017,2,4270,2118,0.25,1198,317.844,43.87,-1.46,514,-691,-63,4171,2126,0.25,1257,317.916,48.21,-1.07,349,-290,-105,-1.41,-1.29,-1.16
642,HES,31/12/2017,2017,3,4083,2214,0.25,1348,317.754,46.89,-2.02,602,-601,-207,4270,2118,0.25,1198,317.844,43.87,-1.46,514,-691,-63,-1.16,-0.86,-1.01
643,HES,31/03/2018,2017,4,6157,2435,0.25,1663,315.054,47.47,-8.57,945,1358,-188,4083,2214,0.25,1348,317.754,46.89,-2.02,602,-601,-207,-1.01,-0.52,-0.27
644,HES,30/06/2018,2018,1,5014,1904,0.25,1346,308.055,50.62,-0.38,210,-422,-909,6157,2435,0.25,1663,315.054,47.47,-8.57,945,1358,-188,-0.27,-0.26,-0.23
645,HES,30/09/2018,2018,2,4694,1945,0.25,1534,299.688,66.89,-0.48,635,-906,-1668,5014,1904,0.25,1346,308.055,50.62,-0.38,210,-422,-909,-0.23,-0.01,0.38
646,HES,31/12/2018,2018,3,4501,1958,0.25,1793,296.253,71.58,-0.18,1058,-901,-2000,4694,1945,0.25,1534,299.688,66.89,-0.48,635,-906,-1668,0.38,-0.31,-0.31
647,HES,31/03/2019,2018,4,4459,2203,0.25,1650,291.435,40.5,-0.05,1939,-1566,-2526,4501,1958,0.25,1793,296.253,71.58,-0.18,1058,-901,-2000,-0.31,-0.26,0.09
648,HES,30/06/2019,2019,1,3834,2271,0.25,1572,304.281,60.23,0.09,238,-680,48,4459,2203,0.25,1650,291.435,40.5,-0.05,1939,-1566,-2526,0.09,-0.05,-0.09
649,HES,30/09/2019,2019,2,3684,2332,0.25,1660,304.481,63.57,-0.02,913,-1297,-102,3834,2271,0.25,1572,304.281,60.23,0.09,238,-680,48,-0.09,-0.24,-0.32
